att1,att2,att3,att4,class
0.730878,0.410081,0.207715,0.332717,1
0.963705,0.939865,0.947195,0.937082,0
0.397174,0.347518,0.294057,0.506484,1
0.115967,0.770536,0.659893,0.156747,0
0.378202,0.139763,0.694948,0.805228,1
0.005025,0.523135,0.743984,0.142023,0
0.5771,0.204914,0.623364,0.184707,1
0.010684,0.161043,0.178055,0.540397,0
0.973834,0.245427,0.394521,0.217602,1
0.592379,0.655174,0.119839,0.652477,0
0.984323,0.206738,0.37465,0.46335,1
0.33361,0.443212,0.504136,0.998981,0
0.428784,0.308093,0.717322,0.962415,1
0.548953,0.555468,0.587816,0.789191,0
0.699007,0.204636,0.254909,0.777916,1
0.225022,0.983103,0.803619,0.836315,0
0.823981,0.123671,0.616951,0.481862,1
0.09975,0.617146,0.02812,0.591439,0
0.679935,0.280002,0.603984,0.849641,1
0.353823,0.598632,0.292093,0.876443,0
0.74425,0.423233,0.375808,0.271293,1
0.729824,0.886744,0.043703,0.4577,0
0.907281,0.246486,0.248489,0.706858,1
0.337721,0.607335,0.315423,0.024472,0
0.451009,0.369134,0.463838,0.177243,1
0.676123,0.715572,0.74337,0.929103,0
0.157631,0.042179,0.378623,0.786609,1
0.316631,0.667073,0.426443,0.400557,0
0.743762,0.365306,0.763755,0.322669,1
0.444457,0.691521,0.719076,0.77795,0
0.656082,0.57223,0.555967,0.250296,1
0.175702,0.444794,0.829691,0.601915,0
0.637947,0.303367,0.065397,0.938031,1
0.303976,0.371941,0.857127,0.807076,0
0.388729,0.265246,0.032373,0.669785,1
0.074361,0.609141,0.178662,0.029633,0
0.708154,0.277778,0.115788,0.691226,1
0.1676,0.594631,0.80989,0.514929,0
0.348981,0.053093,0.60619,0.681526,1
0.224574,0.444599,0.707614,0.029798,0
0.658894,0.315918,0.81577,0.155579,1
0.315315,0.696113,0.094877,0.958808,0
0.129678,0.023599,0.084721,0.052321,1
0.469954,0.819682,0.969097,0.349986,0
0.272886,0.011229,0.794023,0.100375,1
0.818942,0.74786,0.379863,0.107704,0
0.766033,0.208782,0.945102,0.027574,1
0.21481,0.833772,0.255716,0.64057,0
0.461383,0.11964,0.510583,0.742931,1
0.05687,0.559841,0.367996,0.882235,0
0.879977,0.06046,0.071766,0.229253,1
0.222621,0.645459,0.292982,0.885505,0
0.796681,0.707927,0.466092,0.80332,1
0.082084,0.479606,0.961182,0.238113,0
0.798918,0.349781,0.129969,0.891994,1
0.554398,0.916763,0.380352,0.172498,0
0.87529,0.412441,0.529256,0.633051,1
0.161035,0.24625,0.851922,0.049134,0
0.889826,0.027663,0.611949,0.290077,1
0.081628,0.771469,0.359339,0.603125,0
0.884465,0.657482,0.643277,0.067801,1
0.530531,0.912981,0.943693,0.934496,0
0.173391,0.165558,0.922308,0.996062,1
0.7365,0.819015,0.581983,0.447722,0
0.668876,0.312331,0.88842,0.721769,1
0.740945,0.850344,0.53305,0.267735,0
0.811278,0.529625,0.721356,0.528968,1
0.628985,0.711968,0.357314,0.930963,0
0.96585,0.317363,0.491337,0.96981,1
0.676968,0.768814,0.099076,0.420145,0
0.500493,0.326165,0.00705,0.237418,1
0.306951,0.608128,0.239067,0.472055,0
0.947068,0.275139,0.338515,0.479592,1
0.279124,0.776811,0.195114,0.592368,0
0.821168,0.516041,0.147554,0.443755,1
0.018396,0.959208,0.064669,0.11756,0
0.899597,0.616826,0.491836,0.850822,1
0.196371,0.47554,0.572311,0.284694,0
